Current,Constituency,Winner,LAB,CON,RFM,LDM,GRN,MIN,Oth,SNP,PLC,Electorate,Turnout
LAB,Birmingham Erdington,RFM,0.25,0.1,0.41,0.05,0.12,0.06,0.01,-,-,"77,463",44.10%
LAB,Birmingham Hall Green and Moseley,GRN,0.18,0.07,0.14,0.11,0.18,0.16,0.16,-,-,"76,936",54.10%
LAB,Birmingham Hodge Hill and Solihull North,RFM,0.15,0.09,0.35,0.04,0.13,0.24,-,-,-,"77,737",43.90%
LAB,Birmingham Ladywood,MIN,0.28,0.05,0.12,0.06,0.17,0.32,-,-,-,"83,693",43.70%
LAB,Birmingham Northfield,RFM,0.22,0.17,0.4,0.06,0.13,0.01,0.01,-,-,"74,048",50.80%
MIN,Birmingham Perry Barr,MIN,0.2,0.09,0.17,0.05,0.13,0.35,0.02,-,-,"76,350",49.10%
LAB,Birmingham Selly Oak,RFM,0.27,0.11,0.3,0.07,0.19,0.07,-,-,-,"75,678",50.80%
LAB,Birmingham Yardley,RFM,0.15,0.07,0.29,0.1,0.11,0.27,-,-,-,"73,203",49.40%
LAB,Bishop Auckland,RFM,0.24,0.18,0.43,0.05,0.09,0.01,-,-,-,"70,745",57.10%
MIN,Blackburn,RFM,0.14,0.07,0.27,0.02,0.08,0.25,0.17,-,-,"73,263",53.10%
LAB,Blackley and Middleton South,RFM,0.32,0.06,0.38,0.06,0.18,-,-,-,-,"72,303",43.30%
LAB,Blackpool North and Fleetwood,RFM,0.22,0.19,0.46,0.04,0.07,0,0.01,-,-,"73,339",57.00%
LAB,Blackpool South,RFM,0.29,0.1,0.49,0.04,0.07,0.01,0,-,-,"77,460",45.40%
LAB,Blaenau Gwent and Rhymney,RFM,0.24,0.06,0.32,0.05,0.12,0.03,0.02,-,0.17,"70,153",42.70%
LAB,Blaydon and Consett,RFM,0.3,0.09,0.41,0.07,0.13,0,-,-,-,"70,487",59.90%
LAB,Blyth and Ashington,RFM,0.3,0.09,0.46,0.05,0.1,-,-,-,-,"76,595",52.70%
CON,Bognor Regis and Littlehampton,RFM,0.13,0.24,0.41,0.11,0.1,0.01,-,-,-,"76,854",62.20%
LAB,Bolsover,RFM,0.21,0.17,0.41,0.05,0.17,-,-,-,-,"77,207",55.00%
LAB,Bolton North East,RFM,0.19,0.14,0.39,0.05,0.19,0.03,0.01,-,-,"80,011",54.20%
LAB,Bolton South and Walkden,RFM,0.22,0.07,0.4,0.05,0.14,0.11,0.01,-,-,"79,622",46.40%
LAB,Bolton West,RFM,0.21,0.19,0.37,0.06,0.18,0,-,-,-,"74,933",59.50%
LAB,Bootle,LAB,0.46,0.03,0.26,0.05,0.2,0.01,-,-,-,"73,037",53.20%
RFM,Boston and Skegness,RFM,0.08,0.23,0.55,0.05,0.07,0.01,0.01,-,-,"75,811",53.40%
LAB,Bournemouth East,RFM,0.23,0.21,0.31,0.08,0.13,0.03,0,-,-,"72,354",62.10%
LAB,Bournemouth West,RFM,0.19,0.2,0.36,0.12,0.12,0,0,-,-,"70,259",56.10%
LAB,Bracknell,RFM,0.18,0.24,0.34,0.12,0.11,0.01,0,-,-,"71,660",61.20%
LAB,Bradford East,RFM,0.21,0.07,0.27,0.06,0.14,0.2,0.06,-,-,"75,164",49.50%
LAB,Bradford South,RFM,0.18,0.09,0.39,0.04,0.18,0.09,0.03,-,-,"70,999",46.50%
LAB,Bradford West,MIN,0.16,0.06,0.18,0.03,0.19,0.27,0.09,-,-,"77,897",47.60%
CON,Braintree,RFM,0.13,0.27,0.41,0.07,0.11,0.01,-,-,-,"77,673",63.10%
LDM,"Brecon, Radnor and Cwm Tawe",LDM,0.04,0.17,0.29,0.29,0.07,0.01,0.01,-,0.12,"73,114",63.70%
LAB,Brent East,LAB,0.34,0.12,0.15,0.1,0.21,0.04,0.04,-,-,"77,547",48.70%
LAB,Brent West,CON,0.26,0.27,0.15,0.1,0.17,0.06,-,-,-,"80,027",51.70%
LAB,Brentford and Isleworth,LAB,0.27,0.17,0.21,0.11,0.19,0.05,0.01,-,-,"79,423",57.00%
CON,Brentwood and Ongar,RFM,0.1,0.28,0.41,0.12,0.09,0,-,-,-,"75,352",64.10%
LAB,Bridgend,RFM,0.19,0.09,0.32,0.06,0.1,0.08,-,-,0.16,"73,168",56.50%
CON,Bridgwater,RFM,0.12,0.22,0.42,0.14,0.08,0.01,0,-,-,"71,571",56.10%
CON,Bridlington and The Wolds,RFM,0.12,0.25,0.44,0.08,0.08,0.02,0.01,-,-,"74,438",57.70%
CON,Brigg and Immingham,RFM,0.13,0.28,0.45,0.05,0.09,-,-,-,-,"73,099",58.20%
LAB,Brighton Kemptown and Peacehaven,GRN,0.24,0.13,0.16,0.1,0.34,0.02,0.01,-,-,"68,784",59.20%
GRN,Brighton Pavilion,GRN,0.11,0.06,0.1,0.03,0.68,0,0.01,-,-,"74,786",70.00%
GRN,Bristol Central,GRN,0.15,0.04,0.07,0.03,0.71,0,-,-,-,"62,735",69.10%
LAB,Bristol East,GRN,0.24,0.09,0.14,0.06,0.45,0.01,0.01,-,-,"75,917",60.70%
LAB,Bristol North East,GRN,0.25,0.1,0.25,0.05,0.32,0.02,0.01,-,-,"70,076",59.90%
LAB,Bristol North West,GRN,0.3,0.1,0.21,0.08,0.31,0,-,-,-,"74,869",64.70%
LAB,Bristol South,GRN,0.22,0.08,0.26,0.06,0.38,0,-,-,-,"75,533",57.50%
CON,Broadland and Fakenham,RFM,0.15,0.24,0.35,0.12,0.13,-,-,-,-,"76,863",64.40%
CON,Bromley and Biggin Hill,RFM,0.15,0.27,0.35,0.12,0.12,-,-,-,-,"70,713",66.20%
CON,Bromsgrove,RFM,0.12,0.24,0.37,0.15,0.08,0.03,0,-,-,"76,468",65.90%
CON,Broxbourne,RFM,0.13,0.28,0.39,0.08,0.12,0,0,-,-,"75,210",57.10%
