Current,Constituency,Winner,LAB,CON,RFM,LDM,GRN,MIN,Oth,SNP,PLC,Electorate,Turnout
LAB,Glasgow North,SNP,0.2,0.04,0.16,0.04,0.19,0.02,-,0.35,-,"67,579",51.40%
LAB,Glasgow North East,SNP,0.22,0.03,0.2,0.03,0.12,0.02,0.01,0.37,-,"72,610",47.00%
LAB,Glasgow South,SNP,0.2,0.04,0.14,0.04,0.2,0.01,0.01,0.36,-,"70,219",60.40%
LAB,Glasgow South West,SNP,0.21,0.04,0.18,0.04,0.13,0.02,-,0.39,-,"68,871",51.80%
LAB,Glasgow West,SNP,0.24,0.04,0.17,0.05,0.16,0.01,-,0.34,-,"69,028",57.80%
LDM,Glastonbury and Somerton,LDM,0.04,0.19,0.3,0.38,0.1,-,-,-,-,"73,268",65.00%
LAB,Glenrothes and Mid Fife,SNP,0.21,0.05,0.28,0.05,0.07,-,-,0.35,-,"70,655",51.10%
LAB,Gloucester,RFM,0.19,0.21,0.35,0.11,0.1,0.02,0.02,-,-,"79,475",57.50%
CON,Godalming and Ash,LDM,0.03,0.34,0.19,0.39,0.05,0,-,-,-,"75,816",72.10%
CON,Goole and Pocklington,RFM,0.14,0.29,0.37,0.08,0.11,0.01,-,-,-,"79,925",62.20%
CON,Gordon and Buchan,SNP,0.03,0.25,0.27,0.12,0.04,-,-,0.28,-,"69,605",63.00%
LAB,Gorton and Denton,LAB,0.3,0.06,0.27,0.05,0.24,0.09,-,-,-,"76,524",47.80%
CON,Gosport,RFM,0.12,0.31,0.37,0.1,0.09,0.01,0.01,-,-,"73,261",60.40%
LAB,Gower,RFM,0.21,0.1,0.29,0.08,0.14,0.01,-,-,0.18,"76,123",62.00%
CON,Grantham and Bourne,RFM,0.11,0.26,0.39,0.06,0.12,0.03,0.03,-,-,"73,285",62.90%
LAB,Gravesham,RFM,0.21,0.24,0.4,0.05,0.11,-,-,-,-,"73,094",59.10%
LAB,Great Grimsby and Cleethorpes,RFM,0.23,0.14,0.51,0.05,0.06,0.01,0,-,-,"76,157",48.10%
RFM,Great Yarmouth,RFM,0.15,0.16,0.55,0.05,0.08,0.01,0.01,-,-,"73,317",55.60%
LAB,Greenwich and Woolwich,LAB,0.36,0.08,0.18,0.12,0.24,0.01,0.01,-,-,"73,073",58.50%
LDM,Guildford,LDM,0.05,0.22,0.19,0.46,0.08,0,-,-,-,"70,662",68.30%
LAB,Hackney North and Stoke Newington,LAB,0.41,0.07,0.09,0.06,0.35,0.01,0.01,-,-,"77,812",52.60%
LAB,Hackney South and Shoreditch,LAB,0.4,0.04,0.1,0.07,0.36,0.02,0.01,-,-,"78,277",53.30%
LAB,Halesowen,RFM,0.21,0.19,0.42,0.08,0.1,-,-,-,-,"68,549",56.30%
LAB,Halifax,RFM,0.17,0.13,0.36,0.06,0.19,0.05,0.03,-,-,"77,516",51.90%
CON,Hamble Valley,RFM,0.07,0.28,0.29,0.27,0.09,0,-,-,-,"79,478",67.90%
LAB,Hamilton and Clyde Valley,SNP,0.26,0.09,0.25,0.04,0.07,0,-,0.29,-,"75,480",55.80%
LAB,Hammersmith and Chiswick,LAB,0.35,0.14,0.16,0.12,0.21,0.01,0.02,-,-,"75,860",60.70%
LAB,Hampstead and Highgate,LAB,0.3,0.12,0.15,0.15,0.27,0.01,0.01,-,-,"80,029",60.70%
CON,"Harborough, Oadby and Wigston",CON,0.16,0.29,0.27,0.1,0.18,0,-,-,-,"77,075",65.40%
LAB,Harlow,RFM,0.2,0.23,0.41,0.04,0.11,0,-,-,-,"74,683",58.10%
LDM,Harpenden and Berkhamsted,LDM,0.04,0.22,0.18,0.49,0.07,0,-,-,-,"72,242",75.20%
LDM,Harrogate and Knaresborough,LDM,0.04,0.21,0.23,0.43,0.07,0.01,0,-,-,"77,955",66.80%
CON,Harrow East,CON,0.13,0.5,0.15,0.05,0.12,0.04,0.02,-,-,"76,513",62.40%
LAB,Harrow West,LAB,0.27,0.24,0.17,0.08,0.15,0.08,0.01,-,-,"79,902",56.60%
LAB,Hartlepool,RFM,0.27,0.14,0.46,0.04,0.05,0.02,0.01,-,-,"71,437",49.70%
CON,Harwich and North Essex,RFM,0.15,0.26,0.39,0.09,0.11,-,-,-,-,"76,296",63.00%
LAB,Hastings and Rye,RFM,0.23,0.16,0.31,0.06,0.23,0.01,0.01,-,-,"75,939",60.60%
CON,Havant,RFM,0.14,0.22,0.42,0.08,0.13,0,-,-,-,"72,323",58.30%
LAB,Hayes and Harlington,LAB,0.34,0.17,0.26,0.06,0.13,0.04,-,-,-,"74,405",51.50%
LDM,Hazel Grove,LDM,0.11,0.13,0.31,0.37,0.08,0,-,-,-,"72,846",63.10%
LAB,Hemel Hempstead,RFM,0.21,0.2,0.35,0.12,0.12,-,-,-,-,"71,035",62.10%
LAB,Hendon,CON,0.22,0.32,0.2,0.07,0.15,0.03,0.01,-,-,"74,865",55.10%
LDM,Henley and Thame,LDM,0.04,0.24,0.21,0.42,0.08,0.01,0.01,-,-,"73,749",72.10%
CON,Hereford and South Herefordshire,RFM,0.13,0.24,0.37,0.12,0.14,0,-,-,-,"72,203",63.10%
CON,Herne Bay and Sandwich,RFM,0.13,0.26,0.4,0.06,0.14,-,-,-,-,"77,869",62.70%
LAB,Hertford and Stortford,RFM,0.21,0.22,0.31,0.09,0.18,0,-,-,-,"78,915",68.40%
CON,Hertsmere,CON,0.13,0.37,0.29,0.09,0.11,0.01,-,-,-,"73,465",65.30%
LAB,Hexham,LAB,0.28,0.26,0.27,0.06,0.11,0.01,0.01,-,-,"76,431",67.80%
LAB,Heywood and Middleton North,RFM,0.21,0.11,0.44,0.07,0.08,0.1,-,-,-,"73,328",50.60%
LAB,High Peak,RFM,0.28,0.21,0.31,0.05,0.15,-,-,-,-,"74,385",66.20%
CON,Hinckley and Bosworth,RFM,0.08,0.27,0.35,0.24,0.07,0,-,-,-,"76,407",62.60%
LAB,Hitchin,RFM,0.27,0.21,0.28,0.11,0.11,0,-,-,-,"75,877",69.20%
LAB,Holborn and St Pancras,LAB,0.32,0.06,0.16,0.08,0.2,0.15,0.02,-,-,"71,300",54.10%
LDM,Honiton and Sidmouth,LDM,0.03,0.22,0.27,0.41,0.05,0.01,0,-,-,"75,537",67.10%
CON,Hornchurch and Upminster,RFM,0.09,0.24,0.46,0.08,0.12,0.01,-,-,-,"75,438",62.20%
LAB,Hornsey and Friern Barnet,LAB,0.39,0.06,0.1,0.16,0.27,0.01,0,-,-,"69,885",69.60%
LDM,Horsham,LDM,0.06,0.26,0.23,0.37,0.08,0,0,-,-,"79,150",70.10%
LAB,Houghton and Sunderland South,RFM,0.27,0.08,0.47,0.08,0.1,-,-,-,-,"78,448",51.00%
LAB,Hove and Portslade,LAB,0.34,0.09,0.17,0.07,0.28,0.05,-,-,-,"74,063",70.10%
LAB,Huddersfield,GRN,0.18,0.1,0.27,0.05,0.39,-,-,-,-,"77,795",51.60%
CON,Huntingdon,RFM,0.16,0.27,0.32,0.11,0.12,0.02,-,-,-,"79,074",65.80%
LAB,Hyndburn,RFM,0.16,0.19,0.39,0.04,0.23,-,-,-,-,"67,147",54.20%
LAB,Ilford North,MIN,0.17,0.15,0.21,0.04,0.11,0.31,-,-,-,"78,657",59.60%
LAB,Ilford South,LAB,0.23,0.11,0.16,0.05,0.2,0.21,0.04,-,-,"80,993",50.80%
LAB,Inverclyde and Renfrewshire West,SNP,0.24,0.06,0.21,0.04,0.08,0.02,0.01,0.35,-,"70,126",57.50%
LDM,"Inverness, Skye and West Ross-shire",SNP,0.04,0.05,0.18,0.3,0.08,0,-,0.35,-,"77,927",61.70%
LAB,Ipswich,RFM,0.26,0.19,0.32,0.06,0.16,0,0,-,-,"75,396",58.50%
CON,Isle of Wight East,RFM,0.07,0.19,0.34,0.09,0.29,0.01,-,-,-,"55,855",61.00%
LAB,Isle of Wight West,RFM,0.21,0.21,0.36,0.09,0.13,0,-,-,-,"55,406",61.90%
MIN,Islington North,MIN,0.2,0.04,0.11,0.05,0.13,0.47,0,-,-,"72,852",67.30%
LAB,Islington South and Finsbury,LAB,0.33,0.06,0.17,0.12,0.29,0.01,0.01,-,-,"74,122",57.70%
LAB,Jarrow and Gateshead East,RFM,0.3,0.05,0.44,0.06,0.13,0.01,-,-,-,"70,272",52.30%
CON,Keighley and Ilkley,CON,0.21,0.33,0.26,0.03,0.12,0.05,0.01,-,-,"74,367",62.10%
CON,Kenilworth and Southam,CON,0.12,0.28,0.28,0.19,0.12,0.01,0,-,-,"74,923",71.20%
LAB,Kensington and Bayswater,CON,0.24,0.28,0.17,0.09,0.16,0.04,0.02,-,-,"77,306",54.20%
LAB,Kettering,RFM,0.17,0.19,0.33,0.04,0.25,0.02,0,-,-,"79,360",63.30%
LAB,Kilmarnock and Loudoun,SNP,0.22,0.07,0.25,0.03,0.06,0.01,-,0.37,-,"74,628",56.90%
LDM,Kingston and Surbiton,LDM,0.06,0.11,0.2,0.5,0.1,0.01,0.02,-,-,"77,353",65.50%
LAB,Kingston upon Hull East,RFM,0.24,0.06,0.49,0.11,0.1,-,-,-,-,"70,650",42.20%
LAB,Kingston upon Hull North and Cottingham,RFM,0.28,0.09,0.39,0.09,0.11,0.02,0.02,-,-,"75,280",50.80%
LAB,Kingston upon Hull West and Haltemprice,RFM,0.27,0.12,0.44,0.08,0.09,0,-,-,-,"73,252",52.10%
CON,Kingswinford and South Staffordshire,RFM,0.11,0.3,0.41,0.06,0.1,0.02,-,-,-,"71,645",63.10%
LAB,Knowsley,LAB,0.44,0.03,0.31,0.05,0.16,0.01,0,-,-,"71,964",50.10%
LAB,Lancaster and Wyre,RFM,0.26,0.15,0.32,0.05,0.22,-,-,-,-,"74,760",57.50%
LAB,Leeds Central and Headingley,GRN,0.28,0.06,0.18,0.09,0.35,0.02,0.01,-,-,"70,554",44.80%
LAB,Leeds East,RFM,0.27,0.12,0.36,0.05,0.17,0.01,0.02,-,-,"76,207",51.70%
LAB,Leeds North East,LAB,0.33,0.11,0.17,0.06,0.27,0.04,0.02,-,-,"70,178",64.40%
LAB,Leeds North West,LAB,0.29,0.16,0.26,0.12,0.15,0.02,0,-,-,"71,592",69.50%
LAB,Leeds South,LAB,0.3,0.08,0.24,0.05,0.29,0.02,0.02,-,-,"75,953",41.70%
LAB,Leeds South West and Morley,RFM,0.25,0.16,0.39,0.06,0.13,0.02,0,-,-,"71,854",56.00%
LAB,Leeds West and Pudsey,RFM,0.29,0.12,0.32,0.05,0.19,0.01,0.01,-,-,"70,069",54.90%
CON,Leicester East,CON,0.12,0.25,0.15,0.14,0.12,0.12,0.12,-,-,"76,560",61.00%
MIN,Leicester South,MIN,0.18,0.09,0.15,0.04,0.18,0.34,0.02,-,-,"70,867",59.00%
LAB,Leicester West,RFM,0.25,0.14,0.31,0.07,0.21,0.01,0.01,-,-,"74,102",47.80%
LAB,Leigh and Atherton,RFM,0.28,0.1,0.47,0.06,0.09,0.01,-,-,-,"79,978",51.50%
LDM,Lewes,LDM,0.04,0.18,0.24,0.48,0.06,0,-,-,-,"76,166",69.80%
LAB,Lewisham East,LAB,0.37,0.08,0.2,0.08,0.25,0.01,0.01,-,-,"73,380",55.40%
LAB,Lewisham North,LAB,0.39,0.05,0.11,0.1,0.33,0.01,0.01,-,-,"74,205",59.50%
LAB,Lewisham West and East Dulwich,LAB,0.4,0.06,0.12,0.1,0.32,0.01,0.01,-,-,"69,386",66.90%
LAB,Leyton and Wanstead,LAB,0.29,0.08,0.15,0.08,0.28,0.08,0.04,-,-,"71,491",61.20%
LAB,Lichfield,RFM,0.18,0.24,0.4,0.08,0.08,0.01,0,-,-,"76,118",64.50%
LAB,Lincoln,RFM,0.25,0.16,0.36,0.08,0.12,0.01,0.01,-,-,"72,315",58.30%
LAB,Liverpool Garston,LAB,0.39,0.05,0.23,0.09,0.15,0.07,0.02,-,-,"69,282",60.60%
LAB,Liverpool Riverside,LAB,0.4,0.03,0.22,0.06,0.26,0.02,0.01,-,-,"71,380",45.40%
LAB,Liverpool Walton,LAB,0.48,0.03,0.3,0.04,0.14,0.01,-,-,-,"69,317",53.20%
LAB,Liverpool Wavertree,LAB,0.37,0.04,0.18,0.08,0.29,0.03,0.01,-,-,"70,581",56.40%
LAB,Liverpool West Derby,LAB,0.45,0.03,0.27,0.05,0.15,0.06,-,-,-,"69,934",54.30%
LAB,Livingston,SNP,0.18,0.06,0.26,0.05,0.09,0.01,-,0.35,-,"78,043",57.50%
LAB,Llanelli,RFM,0.13,0.05,0.38,0.04,0.06,0.01,-,-,0.31,"71,538",57.00%
LAB,Lothian East,LAB,0.28,0.09,0.22,0.06,0.11,0.01,-,0.23,-,"75,456",63.70%
LAB,Loughborough,RFM,0.23,0.21,0.35,0.07,0.14,-,-,-,-,"68,961",61.30%
CON,Louth and Horncastle,RFM,0.1,0.27,0.45,0.06,0.09,0.03,0.01,-,-,"76,880",60.50%
LAB,Lowestoft,RFM,0.17,0.2,0.44,0.05,0.14,-,-,-,-,"74,332",56.30%
LAB,Luton North,RFM,0.21,0.13,0.27,0.06,0.12,0.11,0.1,-,-,"74,866",51.80%
LAB,Luton South and South Bedfordshire,RFM,0.2,0.13,0.26,0.07,0.13,0.13,0.08,-,-,"77,312",49.60%
LAB,Macclesfield,RFM,0.3,0.21,0.3,0.06,0.12,0.01,0,-,-,"74,876",70.50%
LDM,Maidenhead,LDM,0.06,0.26,0.16,0.41,0.09,0.01,0.01,-,-,"75,687",66.50%
CON,Maidstone and Malling,RFM,0.12,0.22,0.36,0.13,0.16,0,0,-,-,"76,449",60.70%
LAB,Makerfield,RFM,0.25,0.06,0.5,0.08,0.1,0.01,-,-,-,"76,641",52.50%
CON,Maldon,RFM,0.09,0.28,0.42,0.12,0.09,-,-,-,-,"78,282",63.70%
LAB,Manchester Central,LAB,0.31,0.05,0.24,0.08,0.26,0.04,0.01,-,-,"85,204",46.60%
LAB,Manchester Rusholme,GRN,0.32,0.05,0.13,0.04,0.35,0.11,0.02,-,-,"72,608",40.00%
LAB,Manchester Withington,LAB,0.34,0.04,0.12,0.12,0.34,0.04,0,-,-,"70,555",59.10%
LAB,Mansfield,RFM,0.21,0.22,0.44,0.04,0.07,0.01,0.01,-,-,"74,535",55.10%
LDM,Melksham and Devizes,LDM,0.05,0.25,0.27,0.36,0.08,-,-,-,-,"73,482",69.70%
CON,Melton and Syston,RFM,0.11,0.28,0.36,0.07,0.16,0.01,0.01,-,-,"74,316",61.90%
CON,Meriden and Solihull East,RFM,0.12,0.28,0.38,0.08,0.13,-,-,-,-,"73,659",59.80%
LAB,Merthyr Tydfil and Aberdare,RFM,0.23,0.05,0.37,0.05,0.09,0.01,0.02,-,0.19,"74,460",47.30%
LAB,Mid and South Pembrokeshire,RFM,0.15,0.21,0.32,0.07,0.1,0.01,0.01,-,0.13,"79,033",59.00%
CON,Mid Bedfordshire,RFM,0.15,0.26,0.34,0.09,0.11,0.03,0,-,-,"75,457",65.80%
CON,Mid Buckinghamshire,CON,0.08,0.29,0.26,0.25,0.11,0.01,0,-,-,"75,622",71.30%
LAB,Mid Cheshire,RFM,0.26,0.16,0.38,0.07,0.11,0.02,0.01,-,-,"70,384",59.00%
LAB,Mid Derbyshire,RFM,0.19,0.23,0.35,0.06,0.16,0.01,0,-,-,"69,917",68.00%
LDM,Mid Dorset and North Poole,LDM,0.04,0.24,0.25,0.37,0.09,0,-,-,-,"75,294",65.80%
LDM,Mid Dunbartonshire,LDM,0.06,0.05,0.14,0.4,0.09,0.01,-,0.26,-,"73,603",71.70%
CON,Mid Leicestershire,RFM,0.15,0.28,0.35,0.07,0.15,-,-,-,-,"75,924",63.30%
CON,Mid Norfolk,RFM,0.13,0.27,0.4,0.08,0.12,-,-,-,-,"75,238",61.00%
LDM,Mid Sussex,LDM,0.09,0.19,0.23,0.39,0.09,0.01,-,-,-,"75,969",70.20%
LAB,Middlesbrough and Thornaby East,RFM,0.29,0.12,0.4,0.05,0.08,0.05,0.01,-,-,"75,123",45.80%
LAB,Middlesbrough South and East Cleveland,RFM,0.24,0.28,0.33,0.06,0.08,0.01,-,-,-,"70,331",54.10%
LAB,Midlothian,SNP,0.26,0.06,0.23,0.06,0.07,0.01,-,0.31,-,"73,554",60.00%
LAB,Milton Keynes Central,RFM,0.26,0.21,0.27,0.11,0.15,0,-,-,-,"81,078",58.90%
LAB,Milton Keynes North,RFM,0.26,0.23,0.29,0.08,0.15,-,-,-,-,"70,709",65.00%
LAB,Mitcham and Morden,LAB,0.35,0.1,0.21,0.1,0.22,0.02,0.01,-,-,"77,282",58.60%
LAB,Monmouthshire,CON,0.21,0.25,0.23,0.07,0.13,0.01,0.01,-,0.08,"74,823",68.00%
LAB,Montgomeryshire and Glyndwr,RFM,0.09,0.16,0.29,0.14,0.1,-,-,-,0.22,"74,039",58.40%
SNP,"Moray West, Nairn and Strathspey",SNP,0.06,0.24,0.26,0.07,0.07,0.01,-,0.3,-,"77,243",60.30%
LAB,Morecambe and Lunesdale,RFM,0.24,0.2,0.36,0.11,0.09,-,-,-,-,"76,424",62.90%
LAB,"Motherwell, Wishaw and Carluke",SNP,0.25,0.05,0.25,0.03,0.08,0,0,0.33,-,"71,777",54.40%
LAB,Na h-Eileanan an Iar,LAB,0.25,0.04,0.2,0.03,0.05,0.11,0.07,0.24,-,"21,325",63.40%
LAB,Neath and Swansea East,RFM,0.21,0.05,0.36,0.07,0.1,-,-,-,0.21,"76,291",52.60%
CON,New Forest East,RFM,0.09,0.28,0.33,0.15,0.13,0.01,0.01,-,-,"70,618",64.00%
CON,New Forest West,RFM,0.1,0.26,0.33,0.17,0.13,0.01,0,-,-,"68,644",67.50%
CON,Newark,RFM,0.16,0.31,0.34,0.07,0.1,0.01,0.01,-,-,"79,783",67.00%
LDM,Newbury,LDM,0.04,0.26,0.22,0.37,0.11,0,0,-,-,"71,982",68.00%
LAB,Newcastle upon Tyne Central and West,RFM,0.26,0.07,0.35,0.06,0.15,0.08,0.03,-,-,"76,822",53.80%
LAB,Newcastle upon Tyne East and Wallsend,RFM,0.29,0.05,0.35,0.08,0.21,0.01,0.01,-,-,"76,245",55.50%
LAB,Newcastle upon Tyne North,LAB,0.31,0.1,0.25,0.13,0.2,0.01,0.01,-,-,"74,768",65.00%
LAB,Newcastle-under-Lyme,RFM,0.22,0.19,0.43,0.07,0.09,-,-,-,-,"67,815",58.40%
LAB,Newport East,RFM,0.22,0.1,0.32,0.07,0.14,0.05,0,-,0.1,"76,683",50.20%
LAB,Newport West and Islwyn,RFM,0.21,0.09,0.33,0.08,0.12,0.04,-,-,0.14,"75,785",55.40%
LDM,Newton Abbot,RFM,0.07,0.18,0.35,0.29,0.08,0.03,0,-,-,"73,885",65.00%
LAB,Newton Aycliffe and Spennymoor,RFM,0.27,0.13,0.44,0.06,0.08,0.01,0.01,-,-,"72,215",55.20%
LAB,Normanton and Hemsworth,RFM,0.27,0.08,0.48,0.05,0.12,-,-,-,-,"75,645",48.10%
LAB,North Ayrshire and Arran,SNP,0.18,0.11,0.26,0.03,0.07,0.01,0.01,0.34,-,"72,176",58.60%
CON,North Bedfordshire,RFM,0.13,0.31,0.33,0.12,0.11,-,-,-,-,"78,850",65.40%
LDM,North Cornwall,LDM,0.03,0.19,0.31,0.42,0.05,0,-,-,-,"76,741",66.80%
CON,North Cotswolds,RFM,0.08,0.26,0.26,0.26,0.13,0.01,-,-,-,"73,203",68.60%
LDM,North Devon,LDM,0.04,0.2,0.3,0.38,0.07,0.01,-,-,-,"79,079",65.00%
CON,North Dorset,LDM,0.04,0.27,0.31,0.31,0.07,0.01,0,-,-,"72,690",68.30%
LAB,North Durham,RFM,0.22,0.09,0.44,0.11,0.11,0.02,0.01,-,-,"73,226",56.80%
CON,North East Cambridgeshire,RFM,0.09,0.3,0.41,0.07,0.1,0.02,0,-,-,"71,511",54.80%
LAB,North East Derbyshire,RFM,0.21,0.25,0.37,0.06,0.11,0,-,-,-,"73,234",62.60%
LDM,North East Fife,LDM,0.03,0.03,0.15,0.47,0.08,-,-,0.24,-,"69,762",61.20%
LDM,North East Hampshire,LDM,0.05,0.28,0.24,0.36,0.06,0.01,0.01,-,-,"76,923",72.20%
LAB,North East Hertfordshire,RFM,0.18,0.23,0.33,0.11,0.15,-,-,-,-,"77,697",67.60%
LAB,North East Somerset and Hanham,RFM,0.23,0.22,0.32,0.09,0.13,0,0,-,-,"73,889",69.20%
GRN,North Herefordshire,GRN,0.03,0.18,0.26,0.03,0.5,0,-,-,-,"72,797",69.20%
LDM,North Norfolk,LDM,0.03,0.25,0.28,0.38,0.05,-,-,-,-,"71,438",65.90%
LAB,North Northumberland,RFM,0.22,0.18,0.34,0.11,0.08,0.06,0.01,-,-,"74,190",65.80%
LDM,North Shropshire,LDM,0.04,0.14,0.3,0.47,0.05,0,-,-,-,"77,573",63.90%
LAB,North Somerset,CON,0.2,0.26,0.26,0.14,0.14,0,-,-,-,"74,426",72.20%
LAB,North Warwickshire and Bedworth,RFM,0.18,0.22,0.47,0.05,0.09,-,-,-,-,"69,752",58.70%
LAB,North West Cambridgeshire,RFM,0.16,0.24,0.38,0.08,0.13,-,-,-,-,"75,915",58.50%
CON,North West Essex,RFM,0.15,0.28,0.3,0.12,0.12,0.02,0.02,-,-,"79,698",68.20%
CON,North West Hampshire,RFM,0.13,0.27,0.31,0.16,0.11,0.01,-,-,-,"78,629",64.60%
LAB,North West Leicestershire,RFM,0.18,0.23,0.39,0.05,0.12,0.03,0,-,-,"77,750",62.50%
CON,North West Norfolk,RFM,0.11,0.27,0.38,0.14,0.1,-,-,-,-,"74,415",59.90%
LAB,Northampton North,RFM,0.25,0.16,0.34,0.06,0.13,0.03,0.02,-,-,"75,575",55.30%
LAB,Northampton South,RFM,0.21,0.21,0.37,0.08,0.12,0.01,0,-,-,"70,393",62.40%
LAB,Norwich North,RFM,0.25,0.14,0.34,0.06,0.19,0.01,-,-,-,"73,717",62.10%
LAB,Norwich South,GRN,0.27,0.09,0.22,0.08,0.32,0.01,0.01,-,-,"76,296",59.10%
LAB,Nottingham East,LAB,0.35,0.08,0.21,0.07,0.2,0.06,0.02,-,-,"69,395",52.50%
LAB,Nottingham North and Kimberley,RFM,0.27,0.13,0.38,0.06,0.17,-,-,-,-,"73,768",47.50%
LAB,Nottingham South,RFM,0.28,0.12,0.31,0.08,0.15,0.04,0.02,-,-,"64,255",51.20%
LAB,Nuneaton,RFM,0.2,0.2,0.41,0.05,0.13,0.02,-,-,-,"71,843",57.40%
CON,Old Bexley and Sidcup,RFM,0.12,0.29,0.4,0.07,0.12,0,0,-,-,"73,198",65.10%
LAB,Oldham East and Saddleworth,RFM,0.18,0.11,0.39,0.09,0.08,0.1,0.04,-,-,"73,460",54.50%
LAB,"Oldham West, Chadderton and Royton",RFM,0.17,0.07,0.35,0.04,0.1,0.19,0.07,-,-,"76,031",50.70%
LDM,Orkney and Shetland,LDM,0.03,0.02,0.22,0.44,0.13,-,-,0.16,-,"34,236",60.40%
CON,Orpington,RFM,0.1,0.29,0.37,0.12,0.11,0,-,-,-,"71,284",64.60%
LAB,Ossett and Denby Dale,RFM,0.22,0.2,0.4,0.05,0.11,0.02,-,-,-,"72,312",60.70%
LAB,Oxford East,LAB,0.3,0.08,0.17,0.09,0.25,0.05,0.07,-,-,"71,845",54.80%
LDM,Oxford West and Abingdon,LDM,0.07,0.13,0.18,0.48,0.12,0.01,0.01,-,-,"69,851",65.90%
LAB,Paisley and Renfrewshire North,SNP,0.24,0.05,0.26,0.04,0.08,-,-,0.33,-,"71,103",58.40%
LAB,Paisley and Renfrewshire South,SNP,0.24,0.05,0.22,0.04,0.1,0.01,0,0.35,-,"71,574",57.70%
LAB,Peckham,LAB,0.4,0.05,0.12,0.09,0.31,0.01,0.02,-,-,"72,127",53.80%
LAB,Pendle and Clitheroe,RFM,0.18,0.24,0.38,0.06,0.07,0.06,0.01,-,-,"78,796",59.30%
LAB,Penistone and Stocksbridge,RFM,0.25,0.16,0.41,0.08,0.1,-,-,-,-,"70,435",62.40%
LAB,Penrith and Solway,RFM,0.23,0.22,0.35,0.11,0.08,0,0.01,-,-,"77,935",63.20%
SNP,Perth and Kinross-shire,SNP,0.05,0.25,0.2,0.06,0.05,0.01,-,0.38,-,"77,261",64.80%
LAB,Peterborough,RFM,0.17,0.23,0.29,0.05,0.13,0.12,0.01,-,-,"73,378",57.10%
LAB,Plymouth Moor View,RFM,0.23,0.2,0.44,0.05,0.08,-,-,-,-,"74,724",57.40%
LAB,Plymouth Sutton and Devonport,RFM,0.31,0.11,0.35,0.07,0.13,0.01,0.02,-,-,"75,313",55.90%
LAB,"Pontefract, Castleford and Knottingley",RFM,0.28,0.09,0.49,0.05,0.09,0,-,-,-,"74,618",48.20%
LAB,Pontypridd,RFM,0.19,0.05,0.31,0.05,0.11,0.06,0.01,-,0.22,"75,951",51.80%
LAB,Poole,RFM,0.16,0.23,0.36,0.13,0.11,0.02,0.01,-,-,"72,509",61.40%
LAB,Poplar and Limehouse,LAB,0.25,0.08,0.18,0.12,0.25,0.08,0.03,-,-,"84,116",51.20%
LAB,Portsmouth North,RFM,0.18,0.25,0.4,0.08,0.08,-,-,-,-,"70,446",59.00%
LAB,Portsmouth South,LAB,0.3,0.11,0.3,0.13,0.14,0.02,-,-,-,"73,711",52.80%
LAB,Preston,RFM,0.19,0.09,0.31,0.09,0.09,0.21,0.03,-,-,"77,400",51.70%
LAB,Putney,LAB,0.32,0.18,0.16,0.15,0.16,0.01,0.01,-,-,"72,686",67.80%
LAB,Queen's Park and Maida Vale,LAB,0.34,0.09,0.15,0.11,0.26,0.04,0.01,-,-,"75,558",50.70%
LAB,Rawmarsh and Conisbrough,RFM,0.28,0.08,0.48,0.05,0.1,0.01,-,-,-,"69,133",49.00%
CON,Rayleigh and Wickford,RFM,0.1,0.27,0.43,0.1,0.1,-,-,-,-,"76,576",62.70%
LAB,Reading Central,LAB,0.3,0.14,0.18,0.09,0.27,0,0,-,-,"73,600",61.50%
LAB,Reading West and Mid Berkshire,RFM,0.19,0.24,0.28,0.12,0.15,0.01,0.01,-,-,"68,781",67.70%
LAB,Redcar,RFM,0.23,0.23,0.4,0.06,0.07,0,-,-,-,"70,241",54.40%
LAB,Redditch,RFM,0.18,0.24,0.4,0.06,0.1,0.02,-,-,-,"71,042",59.60%
CON,Reigate,CON,0.14,0.28,0.27,0.13,0.19,-,-,-,-,"77,102",68.90%
LAB,Rhondda and Ogmore,RFM,0.23,0.03,0.36,0.03,0.09,-,-,-,0.25,"74,493",48.10%
LAB,Ribble Valley,RFM,0.18,0.25,0.36,0.1,0.08,0.02,-,-,-,"80,484",64.60%
CON,Richmond and Northallerton,CON,0.11,0.38,0.31,0.09,0.09,0.01,0.02,-,-,"73,886",65.70%
LDM,Richmond Park,LDM,0.05,0.15,0.14,0.55,0.1,0.01,0,-,-,"74,988",68.70%
LAB,Rochdale,RFM,0.16,0.07,0.34,0.07,0.07,0.27,-,-,-,"72,507",54.70%
LAB,Rochester and Strood,RFM,0.19,0.21,0.42,0.06,0.11,0.01,0,-,-,"74,257",57.40%
CON,Romford,RFM,0.13,0.27,0.4,0.07,0.11,0.02,0,-,-,"72,928",60.40%
CON,Romsey and Southampton North,LDM,0.05,0.31,0.23,0.34,0.07,0,-,-,-,"71,871",69.60%
LAB,Rossendale and Darwen,RFM,0.23,0.2,0.42,0.04,0.1,0.01,-,-,-,"74,440",59.90%
LAB,Rother Valley,RFM,0.21,0.26,0.39,0.05,0.09,-,-,-,-,"69,459",59.90%
LAB,Rotherham,RFM,0.24,0.06,0.44,0.07,0.13,0.04,0.02,-,-,"75,929",48.60%
LAB,Rugby,RFM,0.22,0.22,0.35,0.08,0.11,0,0,-,-,"74,901",65.40%
